id,raw_id,name,x,y,area
admin_area:0,0,,13519130.740121316,3643050.925993358,0.0
admin_area:1,1,,13518348.079651922,3635687.4366347683,0.0
admin_area:2,2,,13517126.528205583,3638271.9511503805,0.0
admin_area:3,3,,13531357.807433968,3670835.632118084,0.0
admin_area:4,4,,13497970.301468056,3678587.9394673626,0.0
admin_area:5,5,,13508477.588288462,3653509.664504279,0.0
admin_area:6,6,,13516827.109051675,3640889.395320449,0.0
admin_area:7,7,上海主张界,13508230.273115948,3744467.0074474695,0.0
admin_area:8,8,黄浦区,13523006.598410305,3661098.389344368,28200021.82398721
admin_area:9,9,浦东新区,13599272.390115961,3638987.1361915846,6857305657.287058
admin_area:10,10,杨浦区,13528082.717979562,3671851.879545452,83160687.5947106
admin_area:11,11,虹口区,13523186.96239389,3668995.195953268,32097845.539157305
admin_area:12,12,静安区,13519313.817938471,3668214.6628766297,50462898.42533029
admin_area:13,13,宝山区,13514672.62911523,3685514.5838394626,505185097.90280473
admin_area:14,14,普陀区,13512772.077782212,3666535.0065205283,76628844.19711843
admin_area:15,15,长宁区,13511560.77153406,3659954.7630374627,50969069.7225825
admin_area:16,16,闵行区,13515802.730738275,3644344.1846168153,509649188.584621
admin_area:17,17,嘉定区,13496338.489497904,3679631.453856738,636558807.676481
admin_area:18,18,崇明区,13585576.289442891,3692084.0863995985,8925231550.962881
admin_area:19,19,奉贤区,13535436.019509614,3613512.469252131,1627900215.569061
admin_area:20,20,金山区,13500056.44336913,3607712.217509339,1030500815.4853281
admin_area:21,21,松江区,13493689.876679689,3634985.1755506285,825425609.462199
admin_area:22,22,张庙街道,13519264.141120367,3676741.867332507,6540260.730441965
admin_area:23,23,宝山工业园区,13507997.3561136,3673063.995730497,7414256.711468057
admin_area:24,24,淞南镇,13522948.089188049,3678036.76858699,19487607.080204595
admin_area:25,25,罗店镇,13508992.172705242,3685753.8356744195,61052449.19832227
admin_area:26,26,罗泾镇,13507784.525879612,3694845.6653492865,56721133.44755488
admin_area:27,27,庙行镇,13516898.914123623,3675813.3997132946,8272267.239670963
admin_area:28,28,高境镇,13522354.415116394,3675022.6969310595,9781085.089909712
admin_area:29,29,顾村镇,13511684.624361498,3678931.5209416,57291089.72592765
admin_area:30,30,大场镇,13512603.144325407,3672895.072456875,50681484.672212765
admin_area:31,31,杨行镇,13518378.344506055,3682676.3745364333,54116080.03312257
admin_area:32,32,月浦镇,13515712.6952731,3689484.849900261,66973683.678328626
admin_area:33,33,吴淞街道,13524546.03790605,3681768.4745688834,12510790.937746944
admin_area:34,34,方松街道,13492478.680754691,3637138.629428019,20276690.70732597
admin_area:35,35,洋泾街道,13529920.24994681,3664171.422965877,10252507.050543165
admin_area:36,36,海永镇,13516393.425636731,3737872.244327639,25962979.877962053
admin_area:37,37,花鸟乡,13660014.48725407,3617401.847030241,139614419.61005303
admin_area:38,38,外滩街道,13523415.319644103,3663619.7102607144,3047842.360930903
admin_area:39,39,半淞园路街道,13524118.818381112,3659636.3076920193,3920829.8253246676
admin_area:40,40,老西门街道,13523563.5316845,3661132.6528709265,1662627.1665622352
admin_area:41,41,豫园街道,13523538.984392056,3662229.787018814,1645116.4561023265
admin_area:42,42,小东门街道,13525053.618907154,3661432.286725023,3700339.174712964
admin_area:43,43,打浦桥街道,13521885.906540655,3659933.3105281363,2158930.468858384
admin_area:44,44,五里桥街道,13522644.905342104,3658561.9875935977,4179185.4059362933
admin_area:45,45,淮海中路街道,13522188.896679722,3661414.782467512,1943431.7550997762
admin_area:46,46,瑞金二路街道,13520913.401307352,3661181.281736261,2664048.449995092
admin_area:47,47,南京东路街道,13521820.872737272,3663287.108945413,3277670.7604645723
admin_area:48,48,潍坊新村街道,13527464.23970363,3662000.2733821925,5115347.915476286
admin_area:49,49,陆家嘴街道,13526251.10445789,3663832.4876387715,9397696.86359453
admin_area:50,50,塘桥街道,13527222.528346261,3660213.379653685,5191127.918039241
admin_area:51,51,花木街道,13531027.468473528,3660250.4518322814,28903502.059897356
admin_area:52,52,夏阳街道,13483256.12884147,3649346.0487834867,49690335.92487589
admin_area:53,53,重固镇,13488934.192009807,3659665.791162727,39966346.247291
admin_area:54,54,华新镇,13494127.010458179,3661620.323001386,64898367.112116724
admin_area:55,55,香花桥街道,13482817.130902568,3658029.2914497447,86269199.11137529
admin_area:56,56,徐泾镇,13499904.583513623,3655312.5555546754,54188715.080488026
admin_area:57,57,盈浦街道,13479415.258286249,3652915.738815937,22571985.641713426
admin_area:58,58,朱家角镇,13472017.808943853,3645504.1641319836,184725482.73759523
admin_area:59,59,练塘镇,13474005.586217312,3632774.2162900907,127083984.59039894
admin_area:60,60,金泽镇,13462804.115301955,3641927.665877201,148914031.34981158
admin_area:61,61,北外滩街道,13524923.568326015,3665654.971881256,5383723.897620212
admin_area:62,62,四川北路街道,13523096.090505442,3666698.7213610406,2453049.4683808153
admin_area:63,63,嘉兴路街道,13524602.260416554,3667247.38359354,3589369.8141595554
admin_area:64,64,平凉路街道,13527639.332930552,3666212.250925846,4371058.57049291
admin_area:65,65,江浦路街道,13526585.203055859,3667804.2021561936,3179388.843632845
admin_area:66,66,欧阳路街道,13523656.341627724,3668378.528135275,2287908.3449996
admin_area:67,67,曲阳路街道,13523766.119581388,3670105.9947200282,4196340.47671233
admin_area:68,68,四平路街道,13525514.788633987,3669407.2553481036,3631459.5566227185
admin_area:69,69,五角场街道,13525491.809429089,3671912.9410973927,10177829.97302642
admin_area:70,70,控江路街道,13527520.605380677,3669501.322324498,2931982.689113372
admin_area:71,71,广中路街道,13521935.964100154,3668677.669915527,3954222.749967917
admin_area:72,72,凉城新村街道,13521421.192474628,3670666.662192723,4447940.192357503
admin_area:73,73,江湾镇街道,13522338.25928267,3672531.8084988957,5785290.594959366
admin_area:74,74,延吉新村街道,13528964.092988053,3670110.901001935,2692086.722219447
admin_area:75,75,大桥街道,13529108.965571042,3667493.5220257216,6009390.073687877
admin_area:76,76,定海路街道,13531173.87837005,3669329.831440635,8523846.792946303
admin_area:77,77,长白新村街道,13530348.910665141,3671186.0839877417,4171987.5114277015
admin_area:78,78,长海路街道,13528694.535024645,3672920.1403440647,12199057.436296815
admin_area:79,79,新江湾城街道,13525908.557628643,3675653.9476468135,12052760.002589867
admin_area:80,80,殷行街道,13529477.635329053,3675555.717960846,13219839.422654307
admin_area:81,81,新华路街道,13516702.923991157,3659641.9144816357,3011441.120688713
admin_area:82,82,江苏路街道,13517188.37518766,3661356.679762057,2072466.9231503976
admin_area:83,83,华阳路街道,13516062.875600275,3661422.297874327,2804343.7239490245
admin_area:84,84,周家桥街道,13514079.627686493,3661214.184144316,2712329.6172123356
admin_area:85,85,天山路街道,13514634.713086257,3660154.9799690433,2604940.95176209
admin_area:86,86,仙霞新村街道,13512747.182751473,3659832.054883991,3093381.719502697
admin_area:87,87,虹桥街道,13514121.364835491,3658589.1905974923,5548347.616674657
admin_area:88,88,湖南路街道,13518954.440579092,3660633.8577556354,2361313.536616069
admin_area:89,89,天平路街道,13519242.55252854,3659617.317234226,3691822.6566121085
admin_area:90,90,徐家汇街道,13517638.937220741,3657747.73136932,5584694.03181622
admin_area:91,91,枫林路街道,13519433.0246657,3657660.2094926746,3660666.403201624
admin_area:92,92,斜土路街道,13520780.388345351,3657689.945135828,4426880.877762566
admin_area:93,93,龙华街道,13519995.27529609,3654449.498996995,8481564.250034705
admin_area:94,94,漕河泾街道,13517800.153707623,3653965.556854448,7168620.487852498
admin_area:95,95,田林街道,13516343.353319863,3656235.645010127,5639061.974792236
admin_area:96,96,康健新村街道,13515415.02572809,3653306.9101103186,5528957.703922015
admin_area:97,97,凌云路街道,13516338.270008536,3650926.180351565,4866152.123713934
admin_area:98,98,长桥街道,13518709.833439237,3651216.4496445097,8102340.860818027
admin_area:99,99,华泾镇,13519737.744188394,3648425.666107795,9983306.611740036
admin_area:100,100,南码头路街道,13526346.40402494,3658304.110861032,5583324.381587068
admin_area:101,101,周家渡街道,13525431.64374593,3656385.3262086664,7960052.156794566
admin_area:102,102,上钢新村街道,13522709.8371544,3655849.4930760292,10286036.385439083
admin_area:103,103,金杨新村街道,13532472.32994259,3665914.5540610324,11033181.478393974
admin_area:104,104,浦兴路街道,13535459.164278513,3668054.411562679,8594396.629271299
admin_area:105,105,沪东新村街道,13533589.136645569,3668656.9447103986,7371187.312878308
admin_area:106,106,东明路街道,13526498.164545277,3651760.0405009803,6730706.08931194
admin_area:107,107,川沙新镇,13547030.425654545,3652124.765384424,129750999.68500225
admin_area:108,108,高桥镇,13530674.177589947,3679685.928588312,53639587.56229665
admin_area:109,109,北蔡镇,13531490.659435268,3655547.4297980447,31688007.156928036
admin_area:110,110,合庆镇,13550304.824230187,3663093.071972163,58929598.13961123
admin_area:111,111,唐镇,13542824.233703006,3662327.711397142,44115509.75356827
admin_area:112,112,曹路镇,13544722.1339189,3669256.0493363445,64007284.44650253
admin_area:113,113,高东镇,13539530.31098104,3674973.796983124,49416195.618357934
admin_area:114,114,高行镇,13534718.49986041,3672785.827685498,31437312.60407183
admin_area:115,115,金桥镇,13537415.849121809,3665374.7952334704,34308683.88077568
admin_area:116,116,张江镇,13537919.929454088,3657612.4592558835,63020208.39469855
admin_area:117,117,三林镇,13525013.648000525,3651468.2737178104,46564544.90720721
admin_area:118,118,惠南镇,13555063.877085723,3637890.3462409424,90037920.34314053
admin_area:119,119,周浦镇,13537937.786508856,3646685.4973641206,59115152.224066
admin_area:120,120,新场镇,13541777.609740686,3638378.001071111,72962314.27976045
admin_area:121,121,航头镇,13535144.064892478,3638837.964972956,81297766.17894422
admin_area:122,122,康桥镇,13535216.718900427,3650722.751305558,56063697.822850116
admin_area:123,123,大团镇,13553515.742863454,3630484.983157621,68965326.55966294
admin_area:124,124,祝桥镇,13558515.983370494,3648798.578987048,220225029.25589243
admin_area:125,125,书院镇,13565791.921964142,3627687.891852911,74485653.56611378
admin_area:126,126,宣桥镇,13547295.844991798,3638058.4408772723,62287417.82766328
admin_area:127,127,泥城镇,13560031.105007332,3620718.717275692,81243222.70327684
admin_area:128,128,万祥镇,13560423.85668072,3628611.0592613127,31724389.675927095
admin_area:129,129,南汇新城镇,13569812.5809196,3621167.549197073,207162103.12269914
admin_area:130,130,老港镇,13565775.037080709,3637536.118535362,90082553.68098736
admin_area:131,131,程家桥街道,13508772.101424633,3658131.86607111,10832495.631736366
admin_area:132,132,新泾镇,13509132.195518263,3660850.3526732954,16335635.775505424
admin_area:133,133,北新泾街道,13510225.010784926,3661519.220416219,1953686.6424008072
admin_area:134,134,彭浦镇,13517531.010885678,3670448.105259477,10671543.939016206
admin_area:135,135,芷江西路街道,13520727.066307645,3666070.892950217,2173284.2234508246
admin_area:136,136,临汾路街道,13520522.958158942,3673681.8543307194,2943610.7056302195
admin_area:137,137,彭浦新村街道,13518657.96154961,3673596.102300113,4497918.523297315
admin_area:138,138,大宁路街道,13519584.730004013,3670434.748132556,8731698.605303783
admin_area:139,139,共和新路街道,13520036.172659542,3667590.9705896457,3757080.775151497
admin_area:140,140,宝山路街道,13521823.633915076,3666432.382331488,2219869.1889215773
admin_area:141,141,北站街道,13521861.775805326,3664862.054863825,2427327.0602294835
admin_area:142,142,天目西路街道,13519856.675213322,3665220.0633378727,2638879.1405581203
admin_area:143,143,静安寺街道,13518493.299911203,3661738.694224748,2153047.2318973765
admin_area:144,144,曹家渡街道,13517563.86325784,3662885.781254717,2035378.333377398
admin_area:145,145,南京西路街道,13520031.039231343,3662321.534706257,2218311.441658608
admin_area:146,146,石门二路街道,13520380.832983831,3663481.057157667,1479625.7501117971
admin_area:147,147,江宁路街道,13519009.722729947,3663581.9139231863,2515323.506726072
admin_area:148,148,桃浦镇,13509906.185692348,3669487.9487503897,26317415.468414973
admin_area:149,149,长征镇,13511125.931419903,3663747.851551769,10430345.916899702
admin_area:150,150,真如镇街道,13513098.736058256,3666244.719854601,8192104.94970353
admin_area:151,151,万里街道,13514390.265140083,3667913.482410448,4252579.114026561
admin_area:152,152,宜川路街道,13518279.231913693,3666278.8900215514,3050092.344562686
admin_area:153,153,石泉路街道,13515866.701239562,3665769.130828507,4803269.932531839
admin_area:154,154,甘泉路街道,13517174.60441213,3667468.9350415906,3230076.224070158
admin_area:155,155,长寿路街道,13517396.121601015,3664407.4530055625,5545406.331220156
admin_area:156,156,长风新村街道,13513587.8841317,3662521.9966465235,7958601.617093848
admin_area:157,157,曹杨新村街道,13514533.51250803,3664096.3858148707,2848952.2985950867
admin_area:158,158,浦江镇,13528022.32724322,3639752.4164830656,107815249.5545681
admin_area:159,159,莘庄工业区,13511418.424450127,3641551.80000387,20453007.23427365
admin_area:160,160,马桥镇,13508787.465226825,3636074.4446550356,45693221.57144037
admin_area:161,161,吴泾镇,13520176.196767474,3639367.3181946464,51328525.01979955
admin_area:162,162,虹桥镇,13511913.424942955,3656221.832656685,15120065.569171954
admin_area:163,163,华漕镇,13500559.118546726,3662517.0147568686,38641916.92007469
admin_area:164,164,颛桥镇,13514751.79650458,3640777.629309518,33357427.56345422
admin_area:165,165,七宝镇,13508657.35516079,3652940.9631595095,27393963.816926327
admin_area:166,166,莘庄镇,13510976.819455769,3647731.0067943283,26546221.67814937
admin_area:167,167,浦锦街道,13523543.79877381,3644417.115437569,32319075.503980573
admin_area:168,168,新虹街道,13505206.687373977,3658558.882100397,26234117.79291277
admin_area:169,169,古美街道,13512887.72651867,3651883.96178373,8127207.135995338
admin_area:170,170,江川路街道,13513543.114355043,3633660.7940244437,40400037.19261547
admin_area:171,171,联合社区,13514965.392247798,3672163.9183986923,180674.80766695895
admin_area:172,172,大华五村第一社区,13514789.72970791,3670769.6395996483,602182.6779429768
admin_area:173,173,大华三村一社区,13516122.032781238,3670231.8568101763,138182.20299703145
admin_area:174,174,场南村,13515580.808084374,3670986.2928920444,990548.3355629614
admin_area:175,175,大华四村六社区,13514661.270197008,3669593.2342277924,276168.2561405995
admin_area:176,176,大华四村五社区,13514040.494880123,3669178.611182246,288443.09239049
admin_area:177,177,大华二村滨江雅苑社区,13515156.823017556,3669129.2801245498,201972.91294919292
admin_area:178,178,大华二村铂金华府社区,13515106.990827464,3668684.412510521,164798.61452184885
admin_area:179,179,大华四村七社区,13514617.89545454,3668702.327993615,236787.19205115095
admin_area:180,180,大华二村二社区,13514660.463039061,3669123.972612004,225228.7443098978
admin_area:181,181,大华二村嘉华苑社区,13515605.914865443,3667752.9244055953,173539.9563715446
admin_area:182,182,大华二村一社区,13515116.441299845,3668275.9052087534,188443.51795500334
admin_area:183,183,大华二村五社区,13515835.203089496,3668431.844380709,96672.13960839297
admin_area:184,184,大华二村四社区,13515553.178114025,3668656.1860580263,200653.28934674777
admin_area:185,185,新华社区,13515834.013848959,3669655.97659497,386948.2738785778
admin_area:186,186,祁连四村社区,13511947.62970689,3674255.4678009823,394103.01603709836
admin_area:187,187,祁连二村一社区,13511488.329079516,3674229.151810655,146908.75792646507
admin_area:188,188,祁连二村二社区,13511189.96106311,3674134.92404164,176234.3189396906
admin_area:189,189,祁连一村三社区,13510741.754174063,3674058.039643732,264039.0144482405
admin_area:190,190,祁连二村三社区,13511125.737069432,3673494.5643184558,142812.2253788121
admin_area:191,191,祁连一村二社区,13511399.378819859,3673525.434907962,298286.7838312453
admin_area:192,192,祁连一村一社区,13510792.891928367,3673463.456764,359820.8179417072
admin_area:193,193,丰收村,13510312.502824763,3673045.049655282,2219729.838770782
admin_area:194,194,葑村村,13510408.944487477,3674825.7817646614,3337682.521733618
admin_area:195,195,锦秋第一社区,13512474.146136623,3675252.5830832003,1869639.7018386212
