id,name,type,typecode,pname,cityname,adname,address,location,longitude,latitude,citycode,adcode,business_area,tel,query_polygon
BV10039797,上海汽车城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.180742,31.285403",121.180742,31.285403,021,310114,[],021-53554630,"121.100000,31.250000|121.250000,31.400000"
BV10033820,上海赛车场(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.226098,31.331898",121.226098,31.331898,021,310114,[],[],"121.100000,31.250000|121.250000,31.400000"
BV10030508,丰庄(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,13号线,"121.355141,31.242553",121.355141,31.242553,021,310114,[],021-63189188-530800,"121.250000,31.100000|121.400000,31.250000"
BV10039942,临洮路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.330860,31.263059",121.330860,31.263059,021,310114,[],021-63189188-540310,"121.250000,31.250000|121.400000,31.400000"
BV10039941,乐秀路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线;14号线,"121.314103,31.265363",121.314103,31.265363,021,310114,[],021-63189188-540210,"121.250000,31.250000|121.400000,31.400000"
BV09358428,北和公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(规划)嘉闵线北延伸,"121.189591,31.430232",121.189591,31.430232,021,310114,[],[],"121.100000,31.400000|121.250000,31.550000"
BV10039799,南翔(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线;11号线,"121.323141,31.296952",121.323141,31.296952,021,310114,[],021-53554630-510700,"121.250000,31.250000|121.400000,31.400000"
BV09373930,叶城路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.281517,31.375614",121.281517,31.375614,021,310114,[],[],"121.250000,31.250000|121.400000,31.400000"
BV10039960,嘉定北(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.237350,31.391549",121.237350,31.391549,021,310114,[],[],"121.100000,31.250000|121.250000,31.400000"
BV10039612,嘉定新城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.254294,31.330062",121.254294,31.330062,021,310114,[],021-53554630-510400,"121.250000,31.250000|121.400000,31.400000"
BV09373932,嘉定新城东(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.295195,31.348898",121.295195,31.348898,021,310114,[],[],"121.250000,31.250000|121.400000,31.400000"
BV10039961,嘉定西(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.227855,31.377107",121.227855,31.377107,021,310114,[],021-53554630-510200,"121.100000,31.250000|121.250000,31.400000"
BV10039943,嘉怡路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.345697,31.259195",121.345697,31.259195,021,310114,[],021-63189188-540410,"121.250000,31.250000|121.400000,31.400000"
BV11550037,城北路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.234855,31.393592",121.234855,31.393592,021,310114,[],[],"121.100000,31.250000|121.250000,31.400000"
BV10026750,安亭(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.161985,31.288490",121.161985,31.288490,021,310114,[],021-53554630-512100,"121.100000,31.250000|121.250000,31.400000"
BV10039944,定边路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.362396,31.256392",121.362396,31.256392,021,310114,[],021-63189188-540510,"121.250000,31.250000|121.400000,31.400000"
BV09358429,宝钱公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(规划)嘉闵线北延伸,"121.199925,31.416080",121.199925,31.416080,021,310114,[],[],"121.100000,31.400000|121.250000,31.550000"
BV10026179,封浜(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.297006,31.267488",121.297006,31.267488,021,310114,[],021-63189188-540110,"121.250000,31.250000|121.400000,31.400000"
BV11550033,新成路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.265937,31.403740",121.265937,31.403740,021,310114,[],[],"121.250000,31.400000|121.400000,31.550000"
BV10039798,昌吉东路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.200384,31.293620",121.200384,31.293620,021,310114,[],021-64370000,"121.100000,31.250000|121.250000,31.400000"
BV09358430,汇旺路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(规划)嘉闵线北延伸,"121.210755,31.403057",121.210755,31.403057,021,310114,[],[],"121.100000,31.400000|121.250000,31.550000"
BV10039962,白银路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.245350,31.345359",121.245350,31.345359,021,310114,[],021-53554630-510300,"121.100000,31.250000|121.250000,31.400000"
BV10039945,真新新村(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.371949,31.255566",121.371949,31.255566,021,310114,[],021-63189188-540610,"121.250000,31.250000|121.400000,31.400000"
BV10039811,金沙江西路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,13号线,"121.335156,31.241152",121.335156,31.241152,021,310114,[],021-63189188-530700,"121.250000,31.100000|121.400000,31.250000"
BV10039812,金运路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)13号线西延伸;(在建)嘉闵线;13号线,"121.319308,31.240986",121.319308,31.240986,021,310114,[],021-63189188-530600,"121.250000,31.100000|121.400000,31.250000"
BV11277021,陈翔公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.306787,31.306484",121.306787,31.306484,021,310114,[],021-53554630,"121.250000,31.250000|121.400000,31.400000"
BV10031076,马陆(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.276906,31.319675",121.276906,31.319675,021,310114,[],021-53554630-510500,"121.250000,31.250000|121.400000,31.400000"
BV09159961,东方美谷大道(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)15号线南延,"121.476996,30.948309",121.476996,30.948309,021,310120,[],[],"121.400000,30.800000|121.550000,30.950000"
BV09305185,四团(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)南枫线,"121.744908,30.889234",121.744908,30.889234,021,310120,[],[],"121.700000,30.800000|121.850000,30.950000"
BV09305187,奉城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)南枫线,"121.641932,30.925175",121.641932,30.925175,021,310120,[],[],"121.550000,30.800000|121.700000,30.950000"
BV10717294,奉浦大道(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.448984,30.942055",121.448984,30.942055,021,310120,[],[],"121.400000,30.800000|121.550000,30.950000"
BV10717296,奉贤新城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.496290,30.913916",121.496290,30.913916,021,310120,[],021-63189188-655700,"121.400000,30.800000|121.550000,30.950000"
BV10717291,望园路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)15号线南延;(在建)南枫线;5号线,"121.483528,30.932509",121.483528,30.932509,021,310120,[],021-63189188-655500,"121.400000,30.800000|121.550000,30.950000"
BV09332362,汇丰北路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)15号线南延,"121.470246,30.969609",121.470246,30.969609,021,310120,[],[],"121.400000,30.950000|121.550000,31.100000"
BV10717295,环城东路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.463204,30.931168",121.463204,30.931168,021,310120,[],021-63189188-655400,"121.400000,30.800000|121.550000,30.950000"
BV09305190,环城西路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)南枫线,"121.439645,30.924284",121.439645,30.924284,021,310120,[],[],"121.400000,30.800000|121.550000,30.950000"
BV10717297,萧塘(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.441857,30.965888",121.441857,30.965888,021,310120,[],021-63189188-655200,"121.400000,30.950000|121.550000,31.100000"
BV10717290,西渡(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.432441,30.989350",121.432441,30.989350,021,310120,[],[],"121.400000,30.950000|121.550000,31.100000"
BV09159963,西闸公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)15号线南延,"121.461691,31.000872",121.461691,31.000872,021,310120,[],[],"121.400000,30.950000|121.550000,31.100000"
BV09305188,金大公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)南枫线,"121.515655,30.948548",121.515655,30.948548,021,310120,[],[],"121.400000,30.800000|121.550000,30.950000"
BV10717289,金海湖(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,5号线,"121.492506,30.928805",121.492506,30.928805,021,310120,[],021-63189188-655600,"121.400000,30.800000|121.550000,30.950000"
BV09305186,青村(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,奉贤区,(在建)南枫线,"121.584190,30.930118",121.584190,30.930118,021,310120,[],[],"121.550000,30.800000|121.700000,30.950000"
BV11581688,一二八纪念路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.467314,31.328874",121.467314,31.328874,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10039870,上大路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.408686,31.314969",121.408686,31.314969,021,310113,[],021-63189188-670901,"121.400000,31.250000|121.550000,31.400000"
BV10024672,上海大学(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.388884,31.320586",121.388884,31.320586,021,310113,[],021-63189188-670701,"121.250000,31.250000|121.400000,31.400000"
BV09356946,上海宝山站(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.446310,31.404213",121.446310,31.404213,021,310113,[],[],"121.400000,31.400000|121.550000,31.550000"
BV10820982,丰翔路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,15号线,"121.380872,31.308218",121.380872,31.308218,021,310113,[],021-63189188-552800,"121.250000,31.250000|121.400000,31.400000"
BV09149111,兰岗路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.461015,31.377655",121.461015,31.377655,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10039888,共富新村(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,1号线,"121.434063,31.355082",121.434063,31.355082,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10026230,刘行(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.362376,31.357586",121.362376,31.357586,021,310113,[],021-63189188-670401,"121.250000,31.250000|121.400000,31.400000"
BV10820970,南大路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,15号线,"121.380346,31.299263",121.380346,31.299263,021,310113,[],021-63189188-552700,"121.250000,31.250000|121.400000,31.400000"
BV10030226,南陈路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.398419,31.321740",121.398419,31.321740,021,310113,[],021-63189188-670801,"121.250000,31.250000|121.400000,31.400000"
BV10039886,友谊西路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,1号线,"121.427953,31.381296",121.427953,31.381296,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10039983,友谊路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.475924,31.404016",121.475924,31.404016,021,310113,[],021-63189188-631270,"121.400000,31.400000|121.550000,31.550000"
BV10029799,呼兰路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线;1号线,"121.437711,31.339703",121.437711,31.339703,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV09356945,呼玛东路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.464473,31.343425",121.464473,31.343425,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10039869,场中路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.413458,31.303682",121.413458,31.303682,021,310113,[],021-63189188-671001,"121.400000,31.250000|121.550000,31.400000"
BV10039867,大华三路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.422949,31.274047",121.422949,31.274047,021,310113,[],021-63189188-671301,"121.400000,31.250000|121.550000,31.400000"
BV10030231,大场镇(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.416157,31.293259",121.416157,31.293259,021,310113,[],021-63189188-671101,"121.400000,31.250000|121.550000,31.400000"
BV10039887,宝安公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,1号线,"121.430914,31.369555",121.430914,31.369555,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10026163,宝杨路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.479574,31.395315",121.479574,31.395315,021,310113,[],021-63189188-631260,"121.400000,31.250000|121.550000,31.400000"
BV10039885,富锦路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,1号线,"121.424661,31.392260",121.424661,31.392260,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV09336070,康文路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线,"121.419328,31.335319",121.419328,31.335319,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10029541,张华浜(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.498671,31.358016",121.498671,31.358016,021,310113,[],021-63189188-631230,"121.400000,31.250000|121.550000,31.400000"
BV10039987,殷高西路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.484856,31.320005",121.484856,31.320005,021,310113,[],021-63189188-632100,"121.400000,31.250000|121.550000,31.400000"
BV11639105,殷高路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线,"121.495560,31.321705",121.495560,31.321705,021,310113,[],021-63189188-582518,"121.400000,31.250000|121.550000,31.400000"
BV10039984,水产路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.488247,31.381302",121.488247,31.381302,021,310113,[],021-63189188-631250,"121.400000,31.250000|121.550000,31.400000"
BV10039981,江杨北路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.439819,31.407858",121.439819,31.407858,021,310113,[],021-64370000,"121.400000,31.400000|121.550000,31.550000"
BV11184133,江杨南路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线;18号线,"121.465313,31.349903",121.465313,31.349903,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV09024031,泰和路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.467681,31.362976",121.467681,31.362976,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10039985,淞发路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.500390,31.345135",121.500390,31.345135,021,310113,[],021-63189188-631220,"121.400000,31.250000|121.550000,31.400000"
BV10026162,淞滨路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.492818,31.370928",121.492818,31.370928,021,310113,[],021-63189188-631240,"121.400000,31.250000|121.550000,31.400000"
BV10039871,潘广路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.355845,31.364182",121.355845,31.364182,021,310113,[],021-63189188-670301,"121.250000,31.250000|121.400000,31.400000"
BV11508870,爱辉路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线,"121.449331,31.344152",121.449331,31.344152,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10030597,祁华路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.373529,31.322388",121.373529,31.322388,021,310113,[],021-63189188-670601,"121.250000,31.250000|121.400000,31.400000"
BV10032414,罗南新村(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.357470,31.388831",121.357470,31.388831,021,310113,[],021-63189188-670201,"121.250000,31.250000|121.400000,31.400000"
BV10039872,美兰湖(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.349894,31.401889",121.349894,31.401889,021,310113,[],021-63189188-670101,"121.250000,31.400000|121.400000,31.550000"
BV10039868,行知路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,7号线,"121.421770,31.284496",121.421770,31.284496,021,310113,[],021-63189188-671200,"121.400000,31.250000|121.550000,31.400000"
BV10878602,通南路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线,"121.479637,31.337677",121.479637,31.337677,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10031109,通河新村(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,1号线,"121.441546,31.331130",121.441546,31.331130,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10039982,铁力路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,3号线,"121.461139,31.408120",121.461139,31.408120,021,310113,[],021-63189188-631280,"121.400000,31.400000|121.550000,31.550000"
BV11581695,铁山路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.455189,31.386255",121.455189,31.386255,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV09149112,铁通路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,(在建)19号线,"121.452425,31.391970",121.452425,31.391970,021,310113,[],[],"121.400000,31.250000|121.550000,31.400000"
BV10820985,锦秋路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,15号线,"121.381765,31.320184",121.381765,31.320184,021,310113,[],021-63189188-552900,"121.250000,31.250000|121.400000,31.400000"
BV10039986,长江南路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线;3号线,"121.491482,31.332062",121.491482,31.332062,021,310113,[],021-63189188-582618,"121.400000,31.250000|121.550000,31.400000"
BV11498461,长江西路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,18号线,"121.475095,31.346136",121.475095,31.346136,021,310113,[],021-64370000,"121.400000,31.250000|121.550000,31.400000"
BV10026233,顾村公园(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,宝山区,15号线;7号线,"121.373009,31.344594",121.373009,31.344594,021,310113,[],"021-63189188-670501,021-63189188-553000","121.250000,31.250000|121.400000,31.400000"
BV09084531,东滩(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,崇明区,(在建)22号线二期,"121.856238,31.500494",121.856238,31.500494,021,310151,[],[],"121.850000,31.400000|122.000000,31.550000"
BV09084532,裕安(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,崇明区,(在建)22号线二期,"121.861724,31.524445",121.861724,31.524445,021,310151,[],[],"121.850000,31.400000|122.000000,31.550000"
BV11494926,长兴岛(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,崇明区,(在建)22号线一期;(在建)22号线二期,"121.721227,31.389270",121.721227,31.389270,021,310151,[],[],"121.700000,31.250000|121.850000,31.400000"
BV09084533,陈家镇(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,崇明区,(在建)22号线二期,"121.793105,31.490562",121.793105,31.490562,021,310151,[],[],"121.700000,31.400000|121.850000,31.550000"
BV10024951,上海体育场(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,(在建)23号线;4号线,"121.443529,31.185605",121.443529,31.185605,021,310104,[],021-26031000,"121.400000,31.100000|121.550000,31.250000"
BV10026004,上海体育馆(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,1号线;4号线,"121.437423,31.182813",121.437423,31.182813,021,310104,[],021-63189188-610700,"121.400000,31.100000|121.550000,31.250000"
BV10025073,上海南站(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,15号线;1号线;3号线,"121.430041,31.154579",121.430041,31.154579,021,310104,[],"021-63189188-610500,021-63189188,021-63189188-552100","121.400000,31.100000|121.550000,31.250000"
BV10039973,上海图书馆(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,10号线,"121.444363,31.207960",121.444363,31.207960,021,310104,[],021-63189188-501121,"121.400000,31.100000|121.550000,31.250000"
BV11471655,上海植物园(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,(在建)23号线,"121.450427,31.149045",121.450427,31.149045,021,310104,[],[],"121.400000,31.100000|121.550000,31.250000"
BV10024941,上海游泳馆(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,11号线,"121.441424,31.179123",121.441424,31.179123,021,310104,[],021-53554630-512400,"121.400000,31.100000|121.550000,31.250000"
BV10039860,东安路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,4号线;7号线,"121.454897,31.190819",121.454897,31.190819,021,310104,[],021-63189188-672200,"121.400000,31.100000|121.550000,31.250000"
BV10039806,云锦路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,11号线,"121.458519,31.166488",121.458519,31.166488,021,310104,[],"021-64370000,021-63189188-512600","121.400000,31.100000|121.550000,31.250000"
BV10025307,交通大学(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,10号线;11号线,"121.435253,31.202213",121.435253,31.202213,021,310104,[],021-63189188-501021,"121.400000,31.100000|121.550000,31.250000"
BV10820973,华东理工大学(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,15号线,"121.428990,31.144257",121.428990,31.144257,021,310104,[],021-63189188-551100,"121.400000,31.100000|121.550000,31.250000"
BV11471657,华泾路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,(在建)19号线;(在建)23号线,"121.456878,31.119980",121.456878,31.119980,021,310104,[],[],"121.400000,31.100000|121.550000,31.250000"
BV10039881,嘉善路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,12号线;9号线,"121.460704,31.202820",121.460704,31.202820,021,310104,[],"021-64370000,021-63189188","121.400000,31.100000|121.550000,31.250000"
BV10039940,大木桥路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,12号线;4号线,"121.463278,31.194057",121.463278,31.194057,021,310104,[],[],"121.400000,31.100000|121.550000,31.250000"
BV10039880,宜山路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,3号线;4号线;9号线,"121.427194,31.186717",121.427194,31.186717,021,310104,[],021-64370000,"121.400000,31.100000|121.550000,31.250000"
BV10039862,常熟路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,1号线;7号线,"121.449141,31.213524",121.449141,31.213524,021,310104,[],"021-63189188-672000,021-64370000","121.400000,31.100000|121.550000,31.250000"
BV10029707,徐家汇(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,徐汇区,11号线;1号线;9号线,"121.436603,31.195514",121.436603,31.195514,021,310104,[],021-63189188,"121.400000,31.100000|121.550000,31.250000"
